d,u,t,b
"20.10.2010, 12:29",casiopea,Curtains and TV rotating base to give away in Adliswil,"Hi,
I have 2 curtains and a TV rotating base to give away. To be picked up in Adliswil or Baar. 
This is the link to the pics: http://picasaweb.google.com/lauracohen007/Free?feat=directlink"
"20.10.2010, 13:47",goodhill,IRON...Tefal....new,"pickup zurich...
Please pm..."
"20.10.2010, 12:29",AshleyfrmKS,Free James Patterson books,"Hello! 
I've got some James Patterson novels I don't want anymore, if anyone is interested. I am located in Bern, and would be happy to meet whoever wants them somewhere in Bern to pass them along. PM me if interested.
Kiss the Girls
The Jester
Midnight Club
The Lake House
3rd Degree
Hide and Seek"
"19.10.2010, 13:33",PlantHead,Free to pick up Chest of Drawers Dubendorf/Zurich,"http://www.ikea.com/ch/de/catalog/products/00067830
Hemnes Ikea Chest of Drawers.
3 years old, its all yours if you pick up by Sunday
PM me."
"06.10.2010, 22:33",piazza,Academic Books to give - Zurich Oerlikon,"have the following books to give away:
English:
Security in Computing - 3rd Ed
Charles P. Pfleeger & Shari Lawernce Pfleeger
Director for Macintosh & Windows
Andre Persidsky
Using Information Technology - 3rd Ed
Williams / Sawyer / Hutchinson
German:
Visual basic 6 referenz - sprachkonzepte un grundlagen
Rudolf Huttary
Non Academic:
The Travellers Gift
Andy Andrews
Please send a PM to me if you want any, as I dont pop on here often enough...
Cheers"
"16.10.2010, 16:13",rafaelag,free 140x200 bed [ZH],"Giving away a 140 x 200 designer bed. You would have to come and pick it up. If you're interested drop me a post/message. 
Cheers"
"18.10.2010, 18:35",Beanum,Free Stuff - Lausanne area,"We've had a clear out of the cave and the following things are going free:
Mission M7C centre speaker - silver, no box no cables.http://www.cinenow.co.uk/e/p-m-000/0...jpg?1240095611
RED HiFi women's ski/snowboard helmet in white leather - size Lhttp://images.the-house.com/red-hifi-w-wht-08.jpg"
"02.10.2010, 10:45",Homegirl,FREE INTERIO SLEEPING COUCH - Zurich (8002),"Free Interio Sleeping Couch with storage available for pick-up in Zurich 8002.
Was beautiful orange sofa we payed 700 francs for.  A few water stains and slightly dented in middle, but if you're willing to clean it well, can be as good as new.  Makes for a comfortable bed as well.   
First come, first served..."
"18.10.2010, 20:48",Mikers,For Free: JVC TH-S33 Home Cinema System,"For free to collect in Montreux, home cinema surround system.http://asia.cnet.com/reviews/home_av...263704p,00.htm
Mike"
"18.10.2010, 18:30",Beanum,Free Bed (Pully/Lausanne),"We have a new bed being delivered this week so need to get rid of the old one. It's an Ikea Hopen I think. It looks like this but the headboard is solid and vertical:http://expresswardrobe.co.uk/images/...stallation.jpg
It'll be going to the déchetterie on Saturday unless someone can pick it up beforehand. 
It takes a 160x200 mattress."
"14.10.2010, 20:14",grnfish,Computer Desk - [Schaffhausen],"Hi,
I have for free a computer desk - very good condition (very little used)
Dimensions: 110x50x75 (long / width / high) cmDesk to pick up in Schaffhausen.http://picasaweb.google.com/pacbartlomiej/Pics#"
"14.10.2010, 13:15",Reggae_Jes,[now free] Sony TV - Top of the Range CRT - Basel,"Hi,
I have a fully working Sony CRT 32"" With Original Sony Style Stand for Sale.
It is has a White/ Silver surround and is a very nice TV. One of the last generation CRT's.
It can be had for 70chf.
Pick up in Basel.
Thanks
J"
"09.10.2010, 15:39",WelshBoyo,FREE Office Chair in Oberägeri (Zug),"Free office chair on casters. Has armrests, adjustable seat height and tension adjustment. Grey fabric seat and back cushions.
A bit of wear on the seat and on the top of the armrests, but otherwise in a good, fully workable condition."
"16.10.2010, 22:12",FrankS,Free Cabinet (Zurich Oerlikon),"Cabinet for free, two doors at the bottom, open shelves on top, similar to http://www.ikea.com/gb/en/catalog/products/S99837454 Colour: white, size: 90*200*30cm . To be picked up by wednesday at the latest (we move on thursday). Contact: PM"
"13.10.2010, 08:27",Canta,Bookcase (Basel),"Bookcase (IKEA) - Timber grain, excellent condition. Really nice bookcase. 
If you can collect it you will save it from having to be destroyed. It would be a true waste..."
"25.09.2010, 13:01",Callyandtorse,wanted white wardrobe free or little cash [ZH],"we are looking for a white wardroble , or white and black ...
free or little cash 
anything considered ..
at least a double size"
"07.10.2010, 15:46",alicolin,[Now FREE] Ikea Sofa Bed/Futon for Sale in Bern,We have Beddinge sofabed/futon. Grey fabric. 40CHF. Pick-up only in Bern. I can email a photo. Please send a PM. Thanks.
"26.09.2010, 22:06",Bloke,Cot / baby bed for free [Wallisellen],"A 2 year old cot from Ikea.  Adjustable height.  As new condition.  Ready to pick up.  Be quick before you miss out :-)
Based in Meilen, Zurich."
"09.10.2010, 15:51",WelshBoyo,FREE Dell 5.1 PC Speaker System in Oberägeri (Zug),"Dell Part No J252 featuring 4 surround speakers, a centre speaker (with volume control) and a SubWoofer (with bass control).  Was bought with a P4 Dell Dimension 8400 PC in 2004.  All the speakers work fine and give pretty good sound, but please note that sometimes the sound volume increases/decreases for no apparent reason (hence I am giving them away for free).  Not sure if it was a PC problem or speaker problem.  Uses UK Power Cable and item comes with original box and instructions."
"11.10.2010, 11:14",WelshBoyo,FREE: Black TechAir LapTop Bag in Oberägeri (Zug),"Black TechAir Laptop Backpack bag.  Holds most 15 inch screen laptops.
Height: 16 inch (41 cm)
Width: 14 inch (36 cm)
Depth: 8 inch (20 cm)
Contains main laptop pocket, plus 3 other front pockets for laptop accessories.
Excellent condition, hardly used, giving away for Free."
"07.10.2010, 20:43",Riitta,"Free vacuum cleaner - Zurich, Enge","Come and get my old vacuum cleaner. Not sure how old it is because I got it used from a friend two years ago. But it does the job!
Swiss made no brand, 1500W, 5m cord, ratio ca. 8m, dust bag free, big washable dust container, two extra gadgets for furniture and narrow places.
Giving it away for free ASAP, ´cause I got myself a beautiful Dyson"
"13.10.2010, 14:51",Bluenoser,St. Gallen: Free Vacuum Cleaner and AirMattress PICK UP THIS WEEKEND!,"Hi,
I have two items which must go this weekend (pick up in St Gallen)!
-- Fust Primotecq KST 635 Vacuum Cleaner.   3 years old, good condition
-- Large Air Mattress with fast-fill pump (perfect for house guests!)  Approx 200 cm x 160 cm X 55 cm
PM me if you're interested.
Bluenoser"
"05.10.2010, 14:54",katya_e,Free IKEA schrank (Zurich center),"It s not put together, you can easily transport it.
length 130 deep 51 height 181 
shelves on the right and in the middle place to hang clothes"
"21.08.2010, 20:07",Angela-74,[Now FREE in Basel] Wooden sideboard and coffee table in excellent state,"So these are the last pieces of furniture left:
Sideboard 106 cm wide 35 cm deep and 84 cm tall (see picture), Asking Price: 25 CHF.
Coffee table, glass top and has wheels 75 cms wide x 75 cms deep (see picture). Asking price: 20 CHF.
Please PM for more info"
"13.10.2010, 08:20",Canta,Desk with Matching Drawers (Basel),"Large desk with seperate matching 3 drawer unit on wheels. 
140cm x 75cm. Must be collected but can be easily dismantled."
"03.10.2010, 11:16",smbuzby,[Now FREE] TV Cabinet (Embrach close to Zurich airport),"Simple Ikea TV Cabinet for sale.
Quite heavy duty (had my large widescreen crt tv on it ~60kg)
Space for 4 devices
Ample cable room at the back
40CHF
PM Me if interested
Two pics attached"
"03.10.2010, 17:37",anubhav,Bed and mattresses in Glattbrug/Zurich,"Hi,
Below free stuff is available for pickup.
Bed + Mattresses+ Mattress Cover
Bed Size: 180x200
Mattress size: 90x200 (X2)
Bed can divided for single use. Each bed has storage space where you can keep bedding or house hold items.
All items are ready for immediate pickup.
Location:- Glattbrogg, Zurich (very close to Oerlikon , Seebach).
Link to the pictureshttp://picasaweb.google.com/anubhav2...at=directlink#
Please PM me if you are interested."
"07.10.2010, 20:15",hopp_hopp,Free Kettler Crosstrainer (Adliswil-ZH),"Kettler Crosstrainer Comet, a couple of years old, but used very little. 
Pick up in Adliswil before Oct. 22nd."
"08.10.2010, 19:50",thecapaccino,Free Stuff-Zurich 8006 (pics included),"If you want these...let me know.  Will be available for pick up on the following dates.
Tues, 26 Oct
or
Wed 27 Oct
or 
Thur 28 Oct
or 
Fri  29 Oct
in the evenings.....Zurich 8006.
Items include(see pictures)
1. Microwave
2. mini table top oven
3. Iron
4. small Ikea square wood coffee table
5  table top hot plate.
6.  swiftel telephone"
"04.10.2010, 13:01",ElggDK,FREE - Pants press - Elgg/Winterthur,"This Pants Press is yours absolutely for FREE - Just let me know that you want it before someone bids on it on Ricardo.
Pick up in Elgg (close to Winterthur)."
"06.10.2010, 12:11",Running man,Free TV in Basel,"Free large 32 inch Samsung TV in Basel. Old model, but works perfectly Buyer collects.
PM me for more details"
"03.10.2010, 16:35",Angela-74,[Free] Dutch Books,"We have a whole bunch of Dutch books in different categories for free, you can pick up in Basel or I can also send them at cost.Science Fiction
Jules Verne – De reis on de maan
Paul Anderson – Een gok om drie werelden
Bob Shaw – Avernus
James Clavell – Taif pan
Asimov – de talen Holen
Science fiction omnibus
Ganymides 2 0Bruna SF jaarboek
Jack Vance – De ogen van de overwereld
Jack Vance – De Stervende aarde
Jack Vance – Lens Larque
Philip Carr-Gonrm – de magische wereld van hekse en druiden
Alex de Jong’s –Pure fantasy jaar bundel
Wim Geijzen - Deirdre
Win Gijsen – Deirdre (tweede boek BIDAHINNE)
Wim Gijsen – De ersten van Rissan
Edgard Pengborn – De bronzen spiegel
Ergen Weber – De Apocalyps
Greg Bear – Digitale Dromen – de verhalen
Peter Schaap – Ondeeds de Loutere
Cor Bruijn – De vuistslag
Toon Hermans – Fluiten naar de overkant
Harrison – Doodstrij op pyrrus
Gene Wolfe = Het boek van de nieuwe zon
Gene Wolfe – Het boek van der nieuwe zon
Berrington J Barley – De Kleren van Cajon
WA Harrison – Genesis
Perl & Buck ominubus – Ons dagelijks brood, de verloving, zonder woorden
Van vogt – de schakers can nul-a
Frederik Pohl –Jem
Paul Anderson – Avontuur in het verleden
Kludde Reek – Slan
Tanith Lee – Prinses van de nacht
Tanith Lee – Schaduw vuur
Tanith Lee – De Heersers der duistens (5 books)
Roger Zelasny – Amber de 9 prinzen het vuur van avalon
Mary Stewart – De Kristallen grot
Lawrence/Dunn – Storm de diepe wereld
De Beste SF verhalen van Meulenhoff
Robert Heinlein – de man die de maan verkocht
Harry Harrison – Wereldcyclus trilogie
J.R. Tolkien – De Hobbit
Leif Davidsen – De vrouw op de foto
AF van der Heijden – Weerborstels
Andersen –vlaag van verstand
Pohl- Kornbluth wolfsklauw
Andre Norton – Kalteoog
Terry Pratchett – De donkere kant van de zon
Terry Pratchett – Strata
Terry Pratchett – Delven – de donkere kant van de zon
Terry Pratchett- Alleen jij kunt ons redden
Tweesprook – Schaap
Tweesprook 2 – Tanith Lee 
R. Holchstock – Zeende blind
Ursula Leguin – Bellingsplaneet
Seldon Edwards – Fin de siècle
Planeet in de jong - SpinkeFiction/Non Fiction
Paolo Giornano -De eenzaamheid van de priemgetallen
Jonathan Safran Foer – Extreem Luid & Ongeloofelijk dicht bij
Michael Moore – Stupid white men- Amerika onder George W. Bush
Ann Enquist – De ijsdragers
Onno Daste – Romeinse sagen en verhalen
Marten Toonder – Het booroog, de labberdaan, de pasmunt
Zjoelkov – Maarscholk van de Sovjetunie
Spitfires – Vechten voor Engeland
Georges Simenon – De klasgenoot van maigret
Chris van der Heijden – Sprekend beeld
Josiskawa – Moesasji
Josiskawa - Taiku
Homerus – Ilias & Odysses
Gabriel Garcia Marquez – Herinnering van mijn droeve hoeren
Stepehn Hawkings – Het Helaal
De Historicus – Elizabeth Kostova
Max Havelaar van Multatuli
Zo leefden de atheners ten tijde van Pericles – Robert FlaceliereManagement
Kok & de Jongh - Assessment doen- How werkt het voor jou?
Praktisch projectmanagement – Ten Gevers & Tjek Zijlstra
Wim Bloemers – De Kleine Assessment gidsScience/computer science Books
Stein Weinberg – Bownstein van het atoom
Amneraal – de programeertaal C
Elementaire inleiding tot de fysische scheikunde – Wollers
Snel leren prommaieren Shell –Rathman & Wiestoken
De ontwikkeling der aarde –grondslage der paleogeografie en paleontologie
Het oneindige helaal – grondslegen der astronomie
De wereld der Biologie
Cursus fortran 77 – Hume & HolkChess Books
Heribert Franke – Demeplonspelen
Max Euwe – Praktische schaaklessen 2 to 6
Computer Schaak. Schaakwereld en kunstmatige intelligentie
Schaakstuien en schaakmeesters – hans Bouwenmeester
Paard + 7 Robert Timner
Zo leert u goed schaken - Euwe Muhring
Jakow Estrin – De italiaanse partij & 3 open schaak openingen
H van Dam – openingen vademecum
Jeugdschaak
Zo schaken de Europeese jeugds 2
De schaakopening – Enklaar
De wereld van Caissa – Lex Jongsma
Sicilian – hardy Markland
De groot meester – Murphy & Cochran
Alex Soetin: Moderne denkmethode van de schaker
PLEASE PM for more info"
"01.10.2010, 19:24",Bluenoser,Free Household items in St. Gallen!! (leaving Switzerland),"Everything must go!
-- Radio /CD Player (recorder) TechLine 4080
-- set of dishes (4 each of soup bowls, small plates, large plates)
-- water goblets
-- large plant
-- various storage boxes
-- Floor lamps
-- rolling suitcase (51cm long, 30 cm high, 25 cm wide)
-- small fan (Fust Primoteq fan TV 101 de Luxe)
-- glass vase 15cmwide X 25 cm tall
-- SwissCom Top 1748 phone
-- Duvet 200X210 cm 100% micro-hohlfaser
-- Duvet 90X200 100% polyester mikrofasern
plus much more! Some pictures here: http://www.englishforum.ch/album.php?albumid=284
Only available for pickup in St. Gallen
PM me for more details"
"04.10.2010, 13:05",ElggDK,FREE - Garden table and 4 chairs.,"Giving away 4 comfy garden chairs with cushions and a garden table.
The table has a few cracks here and there but nothing a outdoor table cloth cannot hide 
The chairs are in relatively good condition and are very comfortable to sit in.
Can be picked up in Elgg/Winterthur."
"04.10.2010, 23:13",acmilan,FREE 1.70m Mirror Zurich,"Hi guys, 
I'm leavng zurich com the end of the month, so giving away a great mirror if anyone is interested. it stands 1.70m in height and it is on wheels so it can be moved around very easily. I'm based in seebach (tram 14 from the main zurich station). I'm leaving zurich on 29th october, so it can be picked up on the 28th. First come first serve, so please PM me. 
all the best"
"11.09.2010, 19:13",RuTiA,"Free TV 55 cm plus table, Fribourg","Hi, 
Pick up available in Fribourg from now."
"03.10.2010, 21:34",vlad_island,[Free] VHS video cassets - The Godfather (all 3 parts),You can come by and pick them up. PM me interested.
"02.10.2010, 16:39",Annie_zh,Free DJ mixer Numark,"Hi there
I have an old DJ mixer, Numark DM 1002X.
The power adapter is missing but the mixer is in good condition and works well.
picture: http://www.anniessushi.com/storage/I...=1286030076866
To be picked up in Höngg (Zurich), for free.
Cheers
Ann"
"02.10.2010, 13:57",expat_in_zug,FREE: 2 Exilim camera batteries (about 3 years old),"My camera doesn't work anymore. Anyone want the batteries?
Send me the model # and then I'll look it up since I can't remember mine exactly. If I look it up I'll know, however. I'll then put these i the post for you."
"28.09.2010, 10:32",Zurich8032,Now FREE to collect - Furniture items - ZURICH,"The following items are now free to collect before Thursday near Kreutzplatz/Stadelhofen!
4 Dining chairs
2 IKEA MALM bedside cabinets in white 25CHF
2 IKEA MALM bedside cabinets and headboard in 40CHF
IKEA MALM Drawer unit - suitable for cellar - FREE to collect
White book or storage shelves - FREE to collecthttp://picasaweb.google.com/11363845...eat=directlink
ITEMS STILL FOR SALE:
TV table in solid pine 25CHF
Whicker baskets 20 CHF each
CD or DVD cabinet - see link for pic and make an offer
2 large sofa cushions - 10CHF each"
"24.09.2010, 11:16",Sutter,Free plant (dead),"This is a large plant it was once a beautiful plant when we bought it, but now i am afraid i have killed it (kept forgetting to water it) so anyone want a big dead plant let me know first come first served.
P.S sorry i refuse to post photos of it, it might break my camara"
"18.09.2010, 18:57",expat_in_zug,Free dishes and bowls,"Here's a pic.
Come to Thalwil for pick up near train station.
PM for address.
i also have a few other random things for free like a can opene, 3 hole punch, cutting boards, loose leaf tea strainer.....
thanks."
"15.08.2010, 16:35",marchise,Sony TV (Zurich),"Free used TV  in Zurich 8002
model : sony kvm2151a"
"29.09.2010, 12:55",1984,My Model ?,"Hello there Who is my Model on 15 March 2010 @ Coiffeur Valentino I WOULD LIKE TO GIVE YOU GUYS FOR FREE HAIR CUT @ HAIR TO GO Stauffacher 25 What is Hair To go ? Is new Salon from Valentino = so Fresh new and young style..
Pls Contact me at Private mail pls
Tony"
"25.09.2010, 10:47",acr,Free - Folding table / bench (Durnten ZH),The usual wooden folding table with two benches. Pickup from Durnten.
"28.09.2010, 00:06",Zurich8032,White bookcase 2x0.5m / MALM DRAWER UNIT,"White bookcase / storage shelves around 2m high and 0.5m wide. Available to collect until this Thursday near Kreutzplatz in Zurich. 
MALM (IKEA) Drawer unit wiht 4 draws, damaged but suitable for cellar storage. Free to collect before Thursday."
"25.09.2010, 17:45",ip2012,Free -- Bicycle bits and pieces -- Zurich,"Discovered that I have the following bicycle spares that I am not likely to need. Offering for free. Pickup outside office hours in Schwamendingen.
1. SKS Foot Pump (with pressure gauge). Used only a couple of times.
2. 2x 26"" Inner Bike Tubes. Never used.
3. 2x26"" MTB Tyres, ""Standard Quality"" from Migro Sports. Lightly used.
3. 1x Plastic Mudguard.
Please PM for details."
"18.09.2010, 18:56",rashila247,FREE DESK (Zurich-Sihlcity),"FREE DESK
Dimensions: L:150cm x W: 76cm x D: 70cm
The desk is free is you can take it away. If interested please email wilbur247@gmail.com"
"18.09.2010, 19:30",DBJ,Free Desk in Zurich near Kreuzplatz,"Hi all
I appear to be the second person offering a desk for free today!
All you need to do if you want it is let me know and pick it up. Depth is 0.6m, length 1.4m, height 0.72m. The removal guys are coming on Wednesday so please let me know asap.
If you want the chair in the photo as well let me know. I actually want to keep it but if you will only take the desk if I let you have the chair then I may let it go!
Thanks"
"26.09.2010, 16:37",Cybersuz,Free Solid Pine dining suite [Mettmenstetten ZH],"We have a solid pine dining suite to give away. It has a small square table and 4 chairs. Perfect for a small flat or to use in a kitchen.
It is stained dark mahogany brown.
Pick-up from Mettmenstetten."
"26.09.2010, 21:25",ximix,"Migros ""2 Für 1: Reisen Durch Die Schweiz"" Stickers","This is short notice as the offer ends this upcoming Saturday, October 2nd but still worth a try  . . .
I have one complete strip of 10 stickers and another needing one more sticker only for completion to give away for free.
Also happy to split the 2nd incomplete strip up if interested parties are missing a few stickers.
As time is short, will send by ""A"" post 
PM me if interested.  First come first served.
Cheers and happy travels!"
"25.09.2010, 17:39",ip2012,Free -- Rice Cooker Zurich (8051),"We don't need our (very seldom used) rice cooker so we are offering it for free.
Was purchased from Fust a couple of years ago: used may be 4-5 times. 
Pick up in Schwamendingen outside office hours. Please PM for details."
"26.09.2010, 14:17",expat_in_zug,FREE: Cablecom Modem (Scientific Atlanla),"My Cablecom is over. I have the modem. I don't know if I get money back or it saves you money or whatever. Just pick it up if you want it.
I am in between Zurich and Zug, so you need a car, or the train and then a bus.
thanks."
"23.09.2010, 11:20",ElggDK,FREE - Child/Junior bed - Bülach/ZH,"This add should rightfully be posted in ""Sale/Wanted"" because it is really a steal but I don't have time to take nice pictures and make a full description, so it's yours for free if you want it.Sauthon Baby bed which can be converted into a junior bed
If you Google Sauthon you will find that these beds does not come cheap.
I comes with a mattress to fit the bed while converted into Baby Bed, but when your child is getting bigger and you want to convert the bed into a Junior Bed, you need to get another mattress.
This photo is not the actual bed, but just a picture showing how the bed looks like when it is assembled as a Baby Bed (no guarantees for being an identical match though).
I think the drawer, which is located under the bed, needs some fixing, but otherwise it should be good to go to my knowledge.
The bed is approx. 9 years old.
Since its is free there is no warranty. 
PM me if interested."
"25.09.2010, 10:49",acr,Free - Charcoal BBQ (Durnten ZH),In good condition. Kettle type BBQ. Pickup from Durnten.
"25.09.2010, 10:50",acr,Free - Garden storage boxes (Durnten ZH),"Two garden storage boxes with lockable lids. One green and one beige.
Pickup from Durnten"
"24.09.2010, 19:28",zwissmiss,FREE [2 tickets] - The SCRIPT Kaufleuten -  Zürich,"Hello,
I won two tickets to see THE SCRIPT tomorrow night at the Kaufleuten in Zürich.
Doors open at 7pm concert is at 8.30pm and will run only around 45min as it is a showcase of their new album ""Science and Faith"" (in collaboration with ENERGY Radio Zürich).
The first one to PM me can have them both as they are not really my cup of tea."
"24.09.2010, 11:41",rob1,"FREE: lexmark X1140 ""all in one"" printer","Hi,
For collection in Basel (near SBB) i have a X1140 all in one printer 
Not been used for about 6 months so the cartridges are probably dried up.
Im going wirless so this one needs to go.
Can be collected tonight or from next week weds.
No drivers, cables - just the printer. drivers can be downloaded from Lexmark website cartridges (16 +26) available for a fraction of mediamarkt price via ebay
PM me instead of a post as i may miss it."
"19.09.2010, 16:13",apple17,"Double Bed for Free in Bulach, ZH","Hoi Fellow Servants of the Swiss Confederation, 
Double bed is available for free from the 4th October 2010...
The base splits into two parts and we include the headboard as well..
It's a firm mattress (still don't know why it has to go but anyway).  I've always liked it but hey a new bed is needed for baby and therefore this masterpiece has to leave our humble aboad.
Obviously, whoever wants it must collect it..
Apple 17's other half (mad)"
"24.09.2010, 08:13",portsmouth68,Fire Wood - Free [Cham ZG],"Free wood from old furniture and pallets.  All dry and ideal for fire places although you will need to bring an axe to break down the larger pieces.... 
Must collect before 7th October...."
"22.09.2010, 12:05",redEagle,FREE  sofa set [ZH],"hey i want to remove my sofa set which is 2 years old for free ....at no price . Anybody seeking.. please contact 
Rosengartenstrasse Zurich.
[Contact per PM please]"
"21.09.2010, 09:33",Canta,Free Bookshelf (Basel),"White 3 shelf unit to give away. 
To collect."
"14.09.2010, 15:38",timpy,For FREE: Kinderbett [ZH],"Hi,
We would like to give away our kid's bed for free. The bed is from Ikea, more details : http://www.ikea.com/ch/de/catalog/products/S39823978
Pick up in Fällanden. If keen then send me PM.
Thanks!"
"21.09.2010, 00:25",ChineseinBasel,"Free Bookshelf, Single bed, lights etc Pick up on 22nd Sep (Basel)","Free Ikea Billy bookshelf, black in colour
Free Ikea Single bed, silver metal frame with mattress
Free TV cabinet made of solid wood
Free Ikea standing lights
Free English Books kids and adults 
Free soft toys
Please pm me. Thanks"
"20.09.2010, 09:32",Glendyn,"Ceiling Lamp, Handheld vacuum, Satellite LNB's [Hirzel, ZH]","Following items free for collection.
1) Ceiling Lamp - 3 Adjustable angle lamps on a wire with ceiling mounting
2) HOOVER Handheld Brush Vacuum cleaner (UK plug removed - you can get a swiss plug from Migros for about SFr 1.20)
3) One SAMSUNG Universal Single LNB (Bought with NOKIA set/holder for Astra & Hotbrid)
4) NOKIA Two LNB Holder Cover
5) HUMAX Universal Monoblock Twin LNB. Used for Astra & Hotbird.  Can be used for two separate feeds and contains integral DISEqC Switch  to switch LNB for chosen satellite.
Contact by PM please. Items are in Hirzel, ZH. View Bigger pictures here."
"20.09.2010, 20:12",icgrp,"Wanted: moving boxes, Zurich.","Hey,
if someone has some moving boxes to spare, I'll take them this weekend. Let me know."
"19.09.2010, 21:22",chloeioana,Free kitchen pantry/useful storage cupboard in Zürich,"Kitchen pantry or general storage cupboard free to good home. Excellent condition, useful size, only used for 6 months, but not needed in our current apartment. Can be picked up from Zürich Wiedikon most nights in the next few weeks. You will need to bring a van and also 2 strong people to move it.
The dimensions are: height 205 cm (including small legs), width 60 cm, depth 60 cm. There are 5 shelves.
Pictures are here:http://picasaweb.google.com.au/ybernstein/Pantry#"
"17.09.2010, 13:39",expat_in_zug,"FREE: Desk tabletop - nice solid wood - Thalwil, ZH","I bought this at Jumbo for about CHf 80. Yours free.
I made a desk out of it, but the legs I am taking with me since they are a metal construction and I want to keep them.
But, this will look great perhaps on top of a smaller table you want to make bigger, or even on blocks to make a huge awesome coffee table, or make your own desk.
This fit in my Audi A4 no problem.
It is 200cm by 80cm, by 2.5 cm. Very strong.
Please pick it up Saturday at the latest as I am leaving. Thanks!"
"18.09.2010, 12:54",expat_in_zug,"""The Secret"" DVD. 8 copies all FREE. Pick up in THalwil","Thalwil, ZH
8 min walk from train station. PM for address. Only this weekend. IT houthg it was so good I was going to give away copies, and then got lazy. lol! so come and get them thanks. I ahve a few mroe similar DVD's you might also like for free. i'll give you my address and you just pick them up they're already outside."
"11.09.2010, 20:45",swisspea,CD and Book shelf - pickup Adliswil,"I have a grey Ikea benno CD storage shelf unit, and a grey Ikea Billy bookshelf, with two shelves (you can get extra glass ones or other plain ones from Ikea, but I don't think they stock the grey any more).
Free for pickup from Adliswil.
Please Pm me if you are interested. Thanks!"
"04.09.2010, 21:11",expat_in_zug,FREE: Retro (1970's style) small four bulb chandelier,"Ok well the pic says it all.
I bought this at the Swiss Army Store in Schwyz for CHF 40. I am going to give it away for free since it's easier than asking for CHF 5 or whatever. I think it's cool and retro.  thanks.
In Thalwil, ZH"
"04.09.2010, 13:48",expat_in_zug,"Now FREE: TV stand, wood hangers, tons of books, dishes, cutlery Thalwil","Here's a pic of the TV stand. 
Also, lots of plates, pots, cleaning pruducts, books, nice wood hangers (about 20).
Maybe some other stuff. All in Thalwil, ZH"
"21.08.2010, 16:41",tigris330,Free work out machine,"We are moving house and we'd like to give away a multi workout machine. It's old and its rope system was fixed once, so it's not original. However it works well, we just have no guarantee that it will keep working - hence why we're giving it for free. Weights are from 0 to 80 kg and you'd need to pick it up - we live in Oberhasli, near Zurich. Pick up before 30 August.
PM me for details and pictures"
"17.09.2010, 20:49",Miss,(free) household furniture - Zurich,"Hi all,
What hasn't been sold is now for free!
To be picked up in the Egg area this weekend. If your interested send me a PM.
Extendable pine dining table and four chairs with cushions - (depth-80cm/height73cm/width70cm plus 2 x 50cm extendable wings)
Plastic outdoor table and 5 chairs - 
TV (not flat screen, 3 years old) 
white drawer small - 
white drawer and shelf 
single bed slatsPhotos are here:http://www.flickr.com/photos/53984566@N08/
Thanks"
"12.09.2010, 13:00",MissZurichBound,"[FREE] Books in Zurich (Wollishofen) - Fiction, German learning, Spanish learning","Hi all, for FREE! Pick up in Wollishofen.  German learning:
Themen 1 Aktuell A1, A2 both incl. CDs (it's written in)
Themen 2 Aktuell A1, A2 both incl. CDs (it's written in)
Vorsprung hardcover textbook + exercise book + 8CDs
German Demystified; a self-teaching guide, McGraw Hill
German-English mini Dictionary (Collins Gem)
German-English mini Dictionary (Oxford)Moving to Switzerland:
Zurich for Newcomers, Barbara Milne
Living and Working in Switzerland 11th EditionSpanish learning:
Oxford Latin American take off in Spanish (books and CDs)
BBC Suenos World Spanish text book
Avance Curso de Espanol, Nivel ElementalBoxload of fiction for pickup, including but not limited to those by:
Dean Koontz
David Baldacci
James Patterson
Andy McNab
Dan Brown
Umberto Eco
Kafka
Matthew Reilly
Alistair MacLean
Pat Barker (Ghost Road trilogy)
Clive Cussler
Karin Slaughter"
"22.11.2009, 10:59",boxingkangaroo,Free: IKEA Kids desk & chair (near Baden AG),"To give away for free an IKEA kids desk & chair in good condition. Approx. 4 years old (see attachments for photo).
Preferably to be collected from Niederrohrdorf near Baden AG but would be happy to assist within the Baden area."
"16.09.2010, 17:03",expat_in_zug,FREE: Camping pand and 2 pots (they all fit together),"Here are the pics. Yours free. Can't fit in my suitcase. Very light and compact.
Also, I have the retro light here for free, a bunch of umbrellas, books for CHF 1 or 2 each, and a few other small things.
But come and get these pots and a pan. Great for camping.
Thalwil, ZH. PM for address and time for pick up. thanks."
"16.09.2010, 14:16",expat_in_zug,"2 King Size down duvets from Ikea. Thalwil, ZH - FREE","Got these at Ikea. Moving. Yours free. Pick up is on Saturday basically anytime.
They are clean and nice. But you can also wash these in the washing machine. I did that and it worked fine.
PM to reserve these.
thanks"
"16.09.2010, 13:56",jstrang,Free Software CD's - Adliswil,"We have the following software CD's to give away (note they are quite old - ie will run on Windows 95 or 98 ...):
Enid Blyton Famous 5 ""Dangerous Discovery"" and ""Treasure Island"" - published by Ravensburger. 
Suitable for Windows PC's.
Micro Scooter Challenge. Suitable for Windows PC's.
Dorling Kindersley Science Experiments (age 7-11)
Frankie ""World Explorer"" age 5-8 and ""Secret Agent"" (age 7-8). Published by Knowledge Adventure.
Suitable for Mac or Windows PC's.
""Titanic - an interactive journey"" - for Windows PC's
Dorling Kindersley ""Family Health Encyclopaedia""
Suitable for Mac or Windows PC's.
Also a lot of old cover CD's from ""Personal Computer World"" magazine."
