d, u, t, b
"16.10.2012, 10:39",elainemay,[Free] Box spring and bed frame [Zurich],"I have a US queen/UK king size box spring and accompanying basic metal bed frame that I'd like to give away. Please note that this is a US-style box spring, which means it goes underneath a mattress to provide support and stability (i.e. you don't need a lattenrost/wooden slats thingy). It is not a mattress.
The box spring is a Sealy Posturepedic that fits a US queen mattress or a UK king mattress.  It is about 153 cm x 200 cm, which means it might also work with a European 160 cm x 200 cm mattress with a couple of centimeters of overhang on each side. Info on mattress sizes
The bed frame is a standard metal one that adjusts in width and is designed to hold a box spring. It dissembles into two pieces that fold up. It's not a lattenrost- you can't put a mattress in it without a box spring underneath.
Both are in great condition- we used them for about a year before getting a new bed frame that doesn't require a box spring. There are some small scuffs on the box spring from being moved, but it's otherwise clean and in good condition, no stains, odors, or tears.
Please please please, I hope someone can use these items- I hate to take large items in good condition to the dump, and the Brockenhaus doesn't want them because they don't know what a box spring is  I can't deliver, but I will happily help you move them to your vehicle!
Here are some pictures. Yep, it looks like a big rectangle. Pardon the dark areas- those are just shadows and bad phone pic artifacts.  The actual thing is clean and uniform in color. The bed frame is currently in the attic and folded up, but I'm including a picture of a similar one."
"30.10.2012, 10:37",apple123,"Free - Philips TV 21"" [ZH]","Philips TV 21"" - pick it up for free in Zurich.
Image attached"
"08.09.2012, 10:19",limamichelle,Free Furniture,"I moved, and took my furniture with me, unfortunately, I didn't know how to put it back together again and lost some bolts in the process i don't know how to get replaced. if anyone knows where to get spare bolts you are welcome to them all!
I have:
One Black 3 sliding mirror door cupboard (some missing plastic sliders for two doors)
One Wooden Sofa
Happy System Air/Foam single bed (only one Circle knot missing)
One Dining table with 2 Chairs.
Pictures will Come soon, Or you can come over to Stettbach to see."
"28.10.2012, 14:26",muffin,"[Conditionally Free]HP Printer-Good condition (scan, color/BW print, copy)-Lausanne","HP C5180 Photosmart for Free. 
-dimension in inches: (WxLxH) 11.97"" x 17.60"" x 9.10""; or 44.6 cm x 38.7 cm x 18.9 cm ...
-perfect in the functions of scanning, color/B&W printing and copying 
-photo printing quality is not too ideal.  Printed image is clear but overall color is a bit dull. Sometimes the photo tray is not functioning well and need manual adjustment.
For those who is interested, I expect he will also take my current stock of corresponding cartilages HP363 (all in original sealed package). I hope you agree that it's a reasonable request to make.
-Magneta x 7 pieces @10 = 70CHF
-Light Cyan x6 pieces @10 = 60CHF
- Yellow x 2 pieces @10 = 20CHF
Total is 150CHF 
(note : at market, each cartilage costs @15.95CHF; the current cartilages (6 individual colors) inside the printer would be free with the printer)
Please PM me if you're interested."
"25.10.2012, 14:23",Lou,Wanted: Oral B Electric Toothbrush Charger,Does anyone have an Oral B toothbrush charger they no longer use? I need one for my kids toothbrushes and can't seem to find somewhere to buy just the charger.
"22.10.2012, 21:55",kxandra,Freezer (Basel),"Plenty of space. Working very well. We also had it for free and painted the door (it got a yellowish color because former owner placed it in a balcony) Inside everything works and looks fine as you may appreciate on the pictures. 
PM us if interested. 
Kx'"
"27.10.2012, 13:52",branston,Free. Drawer Freezer.,Can anyone make use of this Freezer it is in full working order so it seems a shame to throw it away! All you would need to do is pick it up
"06.09.2012, 21:14",jbd,Free bed 200 x 160 [Zürich],"Free bed ikea SULTAN STUREFORS, the biggest size, 200 x 160.
To pick up near Idaplatz / Albisriederplatz. Possible this weekend 8th/9th.
It's a bed that doesn't require mattress, I use just a very thin sheet / übermatraze.
As you can see on the pic there are some stains, and one foot is slightly moving."
"25.10.2012, 11:22",Jules75,"Free in Langnau am Albis, 5-door Moebel Pfister Wardrobe","Hi,
My lovely Moebel Pfister wardrobe is going free if you can pick it up before 1st Nomember ... Or better this weekend! I need to get rid of it urgently but the Brockenhaus can't come until 1st November so I would be very glad if someone can take it before then. My carpenter is available Monday and he reckons it would take an hour to disassemble ... He could also probably transport it and rebuild. I think he charges 90 chf per hour.  There is slight damage to one end, on the left, but this would be hidden if it can be placed in a corner.  Please come and have a look if you are interested.  I'm also selling the bed frame, chest of drawers and bedside tables for 600 chf (but you don't necessarily have to take these with the wardrobe).http://m.flickr.com/#/photos/88211492@N06/
Thanks, Jules"
"21.10.2012, 22:51",valiant,[Free] Computer table and Two chairs - Immediate pick up in Adliswil,"Two chairs and a small IKEA computer table , very good condition, available for free pick up at adliswil Zurich immediately.
please find the pictures attached. 
Thanks for looking."
"27.10.2012, 11:55",highrotation,"Free tix to the Youngblood Brass Band @ Kaufleuten, ZH 31.10.12","Hey there,
I've got some free tix to free tix to the Youngblood Brass Band @ Kaufleuten, ZH, Wednesday 31.10.12 if anyone wants them? PM me if you are interested!How does this work?"
"22.10.2012, 22:36",lucy_sg,[Zurich] For free: IKEA LOGGA hanger,"I am giving away an IKEA LOGGA hanger with 3 metallic knobs still on its original packing. It has a width of app 40 cm
Please PM me for more details. 
Pick up is in Zurich (Seefeld). Alternatively, I can meet with you in the HB or close to the airport.
Please PM me for more details"
"22.10.2012, 22:26",lucy_sg,[Zurich] for free: faux fur animal print pillows,"I am giving away 3 faux fur animal print pillows. They were barely used and have been sitting in the cellar. 
Pick up is in Zurich (Seefeld). Alternatively, I can meet with you in the HB or close to the airport.
Please PM me for more details"
"24.10.2012, 13:16",basel2010,Sofa Available for free - Basel,Large Sofa Available for free
"08.10.2012, 13:21",SwissMs2000,Free Migros Dinosaurs (Kt. ZG),"I have tons of doubles from this Dinosaur promotion. Maybe someone could use them? Just dont ask for specific ones, cause I not going through the whole lot. 
Pick up in Cham, Kt. Zug."
"24.10.2012, 14:32",A.J.,FREE - Dunstan Baby Language DVD Set (Basel),"Free    Dunstan Baby Language DVD set (two DVD's) 0-3 months. Praised by Oprah.
A great way to understand the way your infant communicates.
See websitehttp://www.dunstanbaby.com/
Giving away free so others can benefit from this great method of communicating with your new born. We used it with our baby and loved it.
DVD set was bought in Australia, so is in PAL format (may not work on stand alone DVD player) but will play in your computer DVD drive..no problem.
Pick up only..... 4059 Basel or 4102 Binningen.
PM me if interested."
"24.10.2012, 21:20",easygoing,free stuff for flea market,"I always go to the flea market and half of the incomes I spend for children in Africa. A lot of my friends were always happy when I came to pick up their old stuff. Like that they could get rid of it and at the same time they did a good thing.
I would almost get anything. 
The only restriction is that it is not too big because I don't have a car.
So usually 
* old clothes and shoes, belts, hats, ... (children or adults)
* old jewelry
* perfumes that you don't like anymore
* dvds, books in good conditions
* smaller electronics, old mobile phones
* cups or plates
* toys, chilren´s books
* sport equipments
* sunglasses ...
.... just anything that is not too heavy to carry around 
I get old stuff anywhere from Zurich city or close.
Feel free to just contact me via PM and I will come over or meet you somewhere to get the stuff
greetings"
"23.10.2012, 10:47",Nanda,"[Zurich, to give] Wardrobe, coffee table etc","I'm posting this for some friends. They've moved on and have these things to give away and they're all in pretty good condition.
Wardrobe (see pic)
Coffee table (just beige ikea about 2-3 yrs old), 
TV and cabinet (a few yrs old) 
Printer (copy scan print and a few yrs but good), 
microwave (1yr)
All are in pretty good nick.
If you're interested in picking any of these up, please send me a PM."
"18.10.2012, 20:04",astrid,Free: Mountain buggy stroller,"I have mountain buggy - Rollerbug model to give away. includes carrycot.
It is like this but in grey:http://babywalker.com/Mountain_Buggy_Strollers.htm
pm if interested."
"21.10.2012, 13:40",neil15,"Wooden Kitchen Trolley [6340, Baar] - Going Free",Free wooden kitchen trolley.  Collect from Baar (6340).  Message me if interested.
"22.10.2012, 22:31",lucy_sg,[Zurich] For free: sand color suede pillows,"I am giving away 2 suede pillows in sand color. Bought them Interio a few years ago, have been in the cellar for the past couple of years. 
Pick up is in Zurich (Seefeld). Alternatively, I can meet with you in the HB or close to the airport.
Please PM me for more details"
"15.10.2012, 11:46",basel2010,Free TV STand / Rack / Center Table [Basel],"Available for free Home furnitures:1) TV Stand (Non Ikea - Good Quality Wood) 
2) Center Table
3) Stand - can be used as a Shoe rack or a Book stand.
Attached Pictures:"
"22.10.2012, 11:09",gerisherk,Books for Toddlers (Zürich),"Free books, pick up Oerlikon/Seebach"
"27.09.2012, 21:06",Chammy,"Free!! Assorted furniture items, 8038 Zurich","Hi, 
With my upcoming move fast approaching, I have a few furniture items that are going spare. None of the stuff is great quality (it was bought cheaply last year, since I was only meant to be here 1 year.... ) but it can do a job. It's also free, so if someone wants it just to tide themselves over, etc - then it's yours!  
1 - Ikea double bed and mattress (140 cm)http://www.ikea.com/ch/de/catalog/products/30185064/
2 - Ikea Malm 3 drawer chest of drawershttp://www.ikea.com/ch/de/catalog/pr...921/#/20062596
3 - Ikea Lack coffee table http://www.ikea.com/ch/de/catalog/products/10065958/
NB: There are some scratches down one of the legs that happened during transit (who knows how...?!). In situ pictures can be found at the following link. http://s1182.photobucket.com/albums/x447/ham_12345/
Items to be collected from 8038 Zurich (exact address available through PM). Pick up this weekend ideal (particularly Saturday). There might be the odd extra item added during the weekend."
"14.10.2012, 14:15",Blani,Free - extentions sockets - Basel,I have 3 of them to give away and I more cable. see the picture
"15.10.2012, 13:47",ne6ef,Free: coupon for registration to Lausanne Marathon all distances,"Hi, I have a coupon for free registration to Lausanne Marathon 28.10.2012 good for all distances. I do not need it because I am already registered for the 42.195 km distance but if you or one of your friends want it please let me know. I have posted this anonce on few other places, so the first to respond will have the coupon. ASAP
Here are the distances and the fees you will save:Marathon	CHF 75.- ½ marathon	CHF 45.- 10km	CHF 35.- Handbike ½ marathon	CHF 28.- Nordic Walking 10km	CHF 30.- Walking 10km	CHF 29.- Mini children A 2.6km (2002 à 2005) *	CHF 15.- Mini children B 4.2km (1996 à 2001) *	CHF 15.- * Mini children A and B are strictly for young people from 1996 to 2005. No parent can not run in this race
For late registration there is additional 10 CHF free"
"20.10.2012, 18:44",Chippers,"FREE 2-seater, black, leather, sofa [Aesch, BL]","Collect from Aesch, Baselland.
In generally good condition, worn on the main seat-panel (otherwise we wouldn't be giving away).  Some good life left in it.  Our kids use it because they aren't yet allowed on our 'grown-up' sofas ! Would be fine for a playroom, attic, etc."
"19.10.2012, 21:22",Swissbean,"Free: Couch, Coffee Table, End Tables [Niederhasli ZH]","Free for Pickup:
White 2-person sofa
White Coffee Table
White End Table
Light birch wood End Table
Everything has been disassembled for easy transport. If you're interested just drop me a message and we can talk date, time and address"
"14.10.2012, 17:11",mitucool,(Now FREE) Table ( ZH),"Table for sale.
Height 42 . 
Length * Width = 55 * 55
Cost 20 Francs.
you can pick the table from bucheggplatz ( I live near by. ) .
or pm me.
Thanks
Mitesh"
"19.10.2012, 11:04",dlpeiyee,Free:Envelope size C5 with left window [Zürich],Pick up at the Dermatologie USZ. More or less 200pcs.
"17.10.2012, 14:00",ShelbyGT500,Ikea Chairs and stalls now Free [Basel],"I did try to sell these but noone could pick them up in time (I'm moving end of october), so these are now free. The cushions have some wine/tomato marks so they probably need replacing but can be bought seperately in ikea.
Pick up only in central Basel, please contact me if you're interested."
"18.10.2012, 15:25",Martha,"Free - Tv table, PC table and shelf","Free PC table:http://www.flickr.com/photos/7470583...in/photostream, the middle shelf (keyboard shelf) can be pulled out. The whole table is on wheels.
Free TV table:http://www.flickr.com/photos/7470583...in/photostream, Since this photo was orginally taken we have found a 2nd shelf the same size as the litle one that fits either next to it or higher than the bigger part of the table.
Free Shelf unit with sliding down door:http://www.flickr.com/photos/7470583...in/photostreamhttp://www.flickr.com/photos/7470583...in/photostream
The sliding door is in full working condition. This shelf has served us very well for years, but no longer fits the loom we want to achieve.
All items are mounted but can be demounted by the person who picks them up. They are available for pick up in Tecknau, 5 minutes from Gelternkinden.
Message me if interested."
"14.04.2012, 20:57",OBone,( Now FREE ) 2 x Blue two seater sofas,"Hi,
Im about to take delivery of some new sofas so am selling my current ones
the sizes are 
90 CM high
90 CM wide
150 CM Long
They are about 8 years old and in reasonable condition with a few minor scuffs due to wear and tear over the years but overall are still very comfortable sofas. All of the covers are removable and washable so is easy to keep clean.  The base of the sofas are on coasters, not wheels so will not damage any hard wooden flooring.
Preferably i would like to sell them as a pair so will offer a deal for the two.
I am selling them for 50CHF each or 90CHF for the two if sold to a single purchaser - perfect for someone setting up a new apartment and need furniture.
I have attached pictures of the sofas
Pick up from Aeugst Am Albis (canton ZH)
Please PM me if interested"
"29.09.2012, 22:48",ragini18,Now Free!:Few Household things [ZH],"Hello all,
I want to sell few thing.
1.Center table(square). 8chf
2.6 plates and 6 soup bowls.3chf
3.1 flask from Ikea.3chf
4.1wok from Ikea.2chf
PM  me if interested.
Thanks."
"10.10.2012, 09:57",nar,Fribourg: Couch and wardrobe to give away,"Hello everyone, 
I am replacing my couch and wardrobe, but I do not want to throw away these ones as they are in a good condition. It is to be picked up from my flat in central Fribourg, from this Friday on (12 October). 
Let me know if you are interested. 
Cheers, 
N."
"10.10.2012, 09:33",Rangatiranui,"Free box of kiddie clothes.  1 for girls, 1 for boys, 18m to 2 or 3 years.","Mostly tops as trousers seem to lose their knees.
Any takers?
Pick up in Baden area, or at Zurich Haubtbahnhof or Paradeplatz.
Please PM."
"07.10.2012, 17:09",LadyAmmy_12,"Free Dressing table and bookshelf [Oerlikon, ZH]","Hi all,
I got dressing table with a stool, bookshelf and DVD player to give away for free. Item is to be collected in Zurich Oerlikon.
PM me if interested.
Regards,
Pornpan"
"03.10.2012, 14:43",Yulie,[Zürich]Free TV stand,"We are moving out of our apartment and we give away our TV stand. It won't fit well  in our new apartment.
This is the approximate size: 140cm x 60cm x 57cm. Not perfect but in good condition.
Photos:https://plus.google.com/photos/11292...CNvRjf69laTxXA
It's available to pick up from Wollishofen, Zurich.
Just drop me a message if interested!
Cheers, 
Yulie."
"14.10.2012, 21:54",Pepper,Books and general household,"I have the following items available for collection in Thalwil.http://www.flickr.com/photos/4895494...57631641256931
I have also have the following IKEA coffee table for collection http://www.ikea.com/gb/en/catalog/pr...958/#/20104290.  It is in the birch colour.  It's been in our spare room so has hardly been used.
Please PM if you are interested (and please don't contact me to say you want all the books and then never make contact again!)"
"13.10.2012, 19:12",ragini18,Free sofa,"Hello All,
I have one sofa to give away,if someone is interested PM me 
Ragini."
"14.10.2012, 14:39",ngoamlb,Free Childrens Bedroom furniture 8134 Adliswil,"Various items free for collection - we have used as two setsset 1 - pineConvertible cot/ junior bed with Toyrs R Us (TRU) mattress and teething rails. (sorry is upside down, but beyond my technical ability to rotate)Drawer unit with four wide drawers and 2 small drawers (refer above photo comment)Changing table.Not a set perse, but the same colour type allowed us to use as such.set 2 - cherryAll from the same set by the European Furniture Company (oxford range)Convertible cot/junior bed with TRU mattress, removable slats to enable to be used before converting to a junior bed but when baby can climb out. Sample image as was disassembled before taking picture - can add end panel pics of actual item if desired. Dresser with two cupboards and drawers, one shelf in each cupboardWall mounted shelf (shown on dresser in picture)."
"30.09.2012, 14:48",irish87,free sofa bed [Aarau],"Free sofa bed not all that old and in perfect condition we have just ended up  with too many sofas and not enough rooms to have them in, we live in Aarau and if you are interested PM me and i will forward you on the address details :-) [ATTACH][/ATTACH]"
"13.10.2012, 16:25",Johnah,"[Free] Sony TV [Baar, Zug]","Hi, 
I am getting rid of this Sony trinitron model KV-25X1B (25 inches). No remote.
I was about to take it to the bin, but if by chance somebody wants it, you can come and get it. Send me a private message to give you the address.
Regards,
Johnah"
"12.10.2012, 18:35",chill_lee,"free eTicket for boat to give away, value 225 ,-","Hello
I have 3 vouchers that I can't use.
they are valid for the Bielersee, Murtensee and Neuchatelsee.
Regular price 76,- each!
Expires on Sunday 14th Oct. If you have nothing planned for the weekend, why not give it a try? 
email me if you want them
for schedules check: www.navig.ch"
"07.10.2012, 14:58",ave113,Free IKEA sofa bed / Cham ZG,"To give away only a few times used double sofa bed including mattress from IKEA (Grankulla / Massum).
Has been standing in the cellar for almost 2 years. Was always well covered, no stains etc.
Must be picked up in Cham ZG."
"05.10.2012, 16:22",mirfield,[Wanted] Strong chap/chappess - 08.10.2012 - Kleinbasel,"I need some help to carry 2 sofas down 3 flights of stairs and onto the street for collection by the council.
We're near the Bläsiring and Dreirosenbrucke tramstops in Kleinbasel.
Is anyone free to help on Monday evening?  
I can promise beer next time I'm out.  And my eternal gratitude.
Here's a picture of a kitty if that will help."
"10.10.2012, 10:19",karun,"Wanted/winter stroller blanket,and bricks","Hi friends, 
I want winter stroller blanket,and also bricks..my baby is 2 years old...
If any one willing to sell means let us know..thanks in advance."
"10.10.2012, 12:53",Nanda,"[To give, Zurich Wipkingen]Free blue ikea couch","We have our old couch to give away. It's a two seater. 
The couch is as comfy as always. Nothing's broken. It's only that we have two cats and there are scratch-marks on the couch. See pictures below. The couch is currently standing on its side to save space, hence the weird angle with the cat on top. We're only getting rid of it as we need the space and have two other couches already.
We'll probably put it out for collection at the end of the week, so if you'd like to pick it up, let me know.
Pic 1: Back corner of couch - the worst of the scratches as shown by the lovely (offending) cats paw.
Pic 2: The couch's backrest has light scratches.
Pic 3: The couch on its side. The first pic was taken of the corner to the back of the cat.
Please PM for any questions.
Cheers,
   Nanda"
"07.10.2012, 19:00",cinzia_t,Free Moving Boxes to pick up in Basel,I have around 30 moving boxes in solid carton and of various sizes. PM in case you need them. Worked fantastically for my move and could do the same for yours!
"16.11.2011, 12:11",Abhir,Lots of GRATIS / Free Stuff in Baden,"Hi,As we are moving out of Swiss and vacating the apartment, the following are still there to be picked up in Nussbaumen near Baden (AG)All is quite good condition used for 2-3 years stuff Electrical/ Electronics like Audio speakers , Table Fan, Lamp, Wall clock Rack, Computer table Household and Kitchen stuff, Cutlery, Crockery, Mixer,  Child Bed and Child Chair Decoration items Dining Table, Side Stools Double bed with mattress Send me your email id if you need to have pictures of these.To be picked up between 19th and 24th November whatever remains available by thenThanks,A RAI"
"08.09.2012, 20:59",mirfield,[Free] 4 Seat Sofa [Basel],"4 seat sofa, dark grey with short silver legs.
Bought from Möbel Pfister about 3 years ago for about 1200 CHF.
Size approx 240cm x 85cm.200 CHF or offers Free!!"
"08.09.2012, 21:18",mirfield,[Free] Ikea Bed Sofa [Basel],"Ikea folding sofa bed with cover.
Approx 8 years old but not often used.  Cover about 1 year old.
Approx 140 cm x 180 cm (as bed), 140 x 100 (as sofa)
Mechanism is a bit stiff (maybe needs a bit of oil) and there's a coffee stain on the corner of the mattress.  But, hey, it's free.
""Buyer"" must collect (and I don't think it'll fit in the lift so it'll need to go down a few flights of stairs).With CoverWithout Cover"
"03.10.2012, 15:19",santy,Paradiso massage chair for free,"Hi, 
I have a paradiso massage chair for free. massages from neck till feet with multiple options. its few years old but works perfect. A bit of wear on the seating.  pls PM me if you are interested. It can fit in to any decent size big combi or 4x4 car.  I live in Oberrieden next to thalwil station in zurich
thanks
santy"
"23.09.2012, 14:18",vlad_island,[ZURICH] 3 Pillows,"2 big pillows, and one small pillow.
Pick-up at Zurich Affoltern 8046.
First come first get.
Cheers"
"23.09.2012, 18:00",logout,some more free items,"Here are some more items free to go, please let me know anyone will be interested. 
fluorescent light x 2, a tea table, a computer desk,  a new IKEA barrier (unused)， and a small plastic bench"
"07.10.2012, 13:11",farhan6155,Free: Sofa-bed (Schlafsessel) [Zurich],It is an IKEA chair that can be used as single bed. It is adjustable in 2 sitting angle. It also has a dark blue cover. See the pictures...
"27.09.2012, 11:36",grnfish,[Now FREE in Schaffhausen] Baby Items & Clothes - Part1,"Dear EF,
I have some baby items and clothes to sale.
1. Baby Einstein (by Graco) - 15 CHF
2. Fisher-Price (sensory selections) - 15 CHF
3. Baby help walker - 10 CHF
4. Winter baby romper 68-74 size (hardly used) - 15 CHF
5. Little Tikes baby walker (3 month old) - 20 CHF
Please send me PM is you are interested.
Thanks"
"28.09.2012, 13:32",Prince86,Re: Bern - Free Furniture and other items,"Please find the pictures attached
I have the below items which i can give it for free
1. Double cot bed with mattress
2- King size Sofa 3x2
3- Round wooden Dining table.
4 - Wardrobe
5 - Chairs
6. Microwave oven
Best Regards,
Prince"
"28.09.2012, 13:32",Prince86,Re: Bern - Free Furniture and other items,"Please find the pictures attached
I have the below items which i can give it for free
1. Double cot bed with mattress
2- King size Sofa 3x2
3- Round wooden Dining table.
4 - Wardrobe
5 - Chairs
6. Microwave oven
Best Regards,
Prince"
"05.10.2012, 09:28",pigeonsbay,Free Landline Wireless Phone [Zurich],"I have a new one so am giving away my 2 year old one for free.
Comes with box, manual and all chargers etc.
Works fine, only thing which might need replacing in the future is the battery.
Can be collected in Wollishofen.
PM me for details."
"04.10.2012, 17:08",Prince86,Free Furniture in Bern,"Hello Friends,
I have some furniture items in my home which are free.
Please find the pictures in the below link.http://www.englishforum.ch/sale-want...ml#post1675757
Other than these, i have some tables, bed lamps, chairs.
PM me if you want them for free.
Best Regards,
Prince"
"03.10.2012, 15:22",santy,Computer Table/desk for free,"Hi, 
Hi I have a computer table for free to pick up. it can be dismantled in two pieces in 5 seconds and can be transported easily in decent size 4x4 car.  pls PM me if you are interested. I live in Oberrieden next to thalwil station in zurich
thanks
santy"
"08.11.2011, 15:11",trean,Free Boxspring and Matress - Zumikon/Zurich,"Giving away an Amercain queen size boxspring and mattress. Just the two pieces, does not include a bed frame. Measures approximately 152cm wide and 204 cm long (no pictures at this time but can send them if you are interested).
Must be picked up. Please contact me if you are interested."
"05.09.2012, 13:15",maninhat,( Now FREE ) - Ikea Desk ( Zürich Wollishofen ),"Hi there,
I have an obsolete IKEA desk, something like in the picture, black, a couple of years old. Yours for 15CHF,
Cheers,
M."
"03.10.2012, 00:09",Trikk,For free: digital satellite receiver (Zürich),"Hi!
I don`t know if anybody can still use it or is it such an old thing that I should rather recycle it? 
(I really can`t answer any questions regarding to it as it belongs to my bf. It has been in the basement since he moved to Switzerland. He is not able to answer to any of my questions about it either.. it does have manual tho )"
"03.10.2012, 02:08",Trikk,For free: Lexmark Z43 (colour)printer (Zürich),"Hi!
We have a printer that hasn`t been used for 3-4yrs. The cartridges are empty, but otherwise it seems to be fine. It still has the manual and CD. 
Works with:
Apple Mac OS 8.6
Apple Mac OS 9.0 - 9.2.2
Apple Mac OS X (10.0.3-10.2.6)
Microsoft Windows 2000 (all versions)
Microsoft Windows 98 (All versions)
Microsoft Windows Me
Microsoft Windows NT 4.0 (all versions)
Microsoft Windows XP (All versions)
More info: http://www1.lexmark.com/US/en/view/U...d=1285-product 
Anybody out there needs it? 
(picture is from internet, in real life it`s not so shiny white, rather grayish..)"
"03.10.2012, 21:05",adrianlondon,"Siemens ""big bag"" Vacuum : Free : Basel","I'm giving away my old vacuum cleaner now that I've just bought (from EF) a slightly better one   At this rate I'll have a really good one in about 20 years ...
Siemens ""big bag"" 3L vacuum cleaner.The good
It's free
It works well
I'd just bought a box of 4 replacement bags, all unused
It used to be owned by NilThe badThe cord rewind doesn't work
It's an EU plug (Germany) so needs an adapter
The telescopic handle doesn't adjust any moreThe uglyYour apartment, until you vacuum it clean with this
Pick up from Brausebad."
"04.10.2012, 00:25",lost_inbroad,Free underwear,"Ok, hear me out first. Last time I was in the States, I stocked up on Starter Dry Star underwear. Somehow, a small got mixed up and I only noticed this today. Since I'm a beast and all  I wear XL and the small won't fit me at all. It's a black pair, unused and unwashed. It still has its tag. 
Brand: Starter
Color: black
Traits: Dri-Star (break a sweat without getting wet...I swear, that's what it says on the tag )
Star-Fit stretch or compression fabric
Anti-Microbial
Excellent for sports, as it gives you the snug fit you want without neutering yourself. (I should be in marketing )
Despite knowing, that this will be one hell of a trainwreck, I thought I will try the EF first before tossing them away."
"03.10.2012, 12:55",pangding,Give away: baby bath tube with stand,"Hi all, 
I have a baby bathtub (not tube. Sorry for spelling mistake.)with stand to give away. It is second hand and used. I don't need it any more because my baby enjoys running water in our big bath tub. Please PM me if u r interested. Pick up in Adliswil.
Regards"
"07.08.2011, 10:33",BorisZurich,[Zurich] Free clothes hangers,"I have some clothes hangers to give away, regular ones and the ones with clips. Pick up in 8037 Zurich."
"01.10.2012, 23:21",Spellbound,Wanted in Basel printer in working order,"Hi there,
If anyone has a printer they no longer want/need, I'd appreciate it very much.
Kind Regards."
"28.09.2012, 02:08",Shove,Ikea Dining Table - Pfaeffikon (SZ),"For Free:
Ikea table in good condition suitable for 6 people for collection in Pfaeffikon SZ.
The visible white circles are from the camera and not marks on the table."
"30.09.2012, 21:56",Spellbound,Wanted in Basel 4055 large mirror,"Hi there,
I hope you are having a nice weekend.
I'm looking for a large mirror. Anywhere in 4055 would be appreciated, as I don't have a car, so would need to be able to pick it up.
Thank you."
"30.09.2012, 21:54",Spellbound,Wanted in Basel 4055 microwave,"Hi there,
I hope you are having a nice weekend.
I'm looking for a microwave, if anyone has a microwave they no longer  need. Anywhere in 4055 would be appreciated, as I don't have a car, so  would need to be able to pick it up.
Thank you."
"30.09.2012, 21:49",Spellbound,Wanted in Basel 4055 sofabed in good condition,"Hi there,
I hope you are having a nice weekend.
I'm looking for a sofabed, if anyone has a sofabed they no longer need. Anywhere in 4055 would be appreciated, as I don't have a car, so would need to be able to pick it up.
Thank you."
"04.09.2012, 17:42",DrinaRen,Free: Grey Sofa [Zurich],"Free grey sofa.  To be collected from Zurich, Hongg, 8049."
"21.09.2012, 11:17",DrinaRen,Free: stylish blue sofa (Zurich),"Our stylish blue sofa is free to a good home.  Cushions are not included.
Not brand new, but still with a lot of life left in it.
To be collected from Zurich, Hongg, 8049. 
There was something quite similar going on Richardo (in better condition) for quite a few CHF's so pick up a free bargain while you can."
"24.09.2012, 22:39",Rangatiranui,"Free Round/Oval wooden dining table, Pick up near Baden.","Comes with 6 chairs.
Free to a good home.
Insert makes the table suitable for 6 people.
Has been pre-loved by a household full of kids"
"27.09.2012, 11:57",abodinnar,FREE grey bricks and glass panels (shelving) Zurich,"Free for pick up from 8032 this saturday 29 Sept.  Several bricks, grey in colour with glass panes and foam inserts.
Currently used as TV stand and book shelves but you could use for a variety of things. Attachment shows you one of the three units/sets.  Sorry, only this pic available at the moment.
Pls PM for more details."
"05.08.2012, 19:13",Krishpy,free tickets for travel in schaffhausen,"Hello All,
A ticket for travelling twice (2hrs each) in Schaffhausen (e.g. near Rhein Falls) is available. At the machines they cost around 4.5chf with halbtax. 
This ticket is valid even without halbtax card and there is no due date on them and can be used any time you go there.Jus t have to validate the ticket in the bus when you get in. 
We're giving them away anyway, but if someone wants to trade a little tiny something for it, we're ok with that too. 
If any one is interested, please PM.
Best,
K"
"25.09.2012, 14:16",NewOneINseefeld,Was passing saw this: big Sony TV (Zurich),"Was passing by 15 min ago and saw this big Sony TV.ZURICH 8008
Seefeld/Kreuzstrasse. BEHIND ""Denner"". 
Tram stop Kreuzstrasse, trams 2 and 4.
First stop after Opera Haus."
"06.07.2012, 22:24",grace noam,Garden rabbit/guinea pig cage - Basel,"I am giving away a 2 story wooden cage for rabbits or guineapigs. It looks like the one is this photo: http://www.petshop.de/shop/Kleintier...eigehege/17878
We got it for free a year ago, so it's not in perfect condition. It needs a few small repairs, which any handyman could easily do. 
Let me know if you are interested."
"27.09.2012, 20:53",farhan6155,Free: Bags and a tea pot in Zurich,"These items are for free. Please PM me if you ate interested.
1- Pink bag (in a good condition).
2- Backpack (one of the back links is detached which can be fixed easily, otherwise in a good condition)
3- Beige bag (with two negligible black spots in back side, otherwise in a good condition)"
"27.09.2012, 10:27",StirB,Free - Roof Rack/Box for VW Golf,"Hi all,
I am moving soon and no longer need the roof rack and box from my Golf.  
It is pretty similar to the photo below, not sure if it is the exact one, my one is in carbon fibre/black colour.http://global.oneighturbo.netdna-cdn.com/wp-content/uploads/2009/07/vw-polo-accessories3-070209.jpg
Free to anyone who wants to pick it up, I will of course help with assembly if needed."
"27.09.2012, 10:44",carlasmom,Free mattress 140x200,Ikea mattress Sultan Fossing 140x200 near Neuchatel. 5 years old. Can help with transport.
